employees/jobTitle,employees/age,employees/countInAgeGroup,employees/countSelected,employees/countNotSelected
"Senior Associate, Administrative Services",37,1,0,1
"Associate Specialist, Talent Rotation",25,1,0,1
"Associate Specialist, Talent Rotation",22,1,0,1
"Specialist, Data Analysis",33,2,0,2
"Specialist, Data Analysis",28,1,0,1
"Senior Specialist, Business & Supplier Management",27,1,0,1
"Senior Specialist, Data Analysis",47,1,1,0
"Senior Specialist, Data Analysis",38,1,0,1
"Senior Specialist, Service Management",50,1,0,1
"Senior Specialist, Service Management",38,1,0,1
"Senior Specialist, Technical Project Management",64,1,0,1
"Senior Specialist, Technical Project Management",55,1,0,1
"Senior Specialist, Technical Project Management",53,1,0,1
"Senior Specialist, Technical Project Management",43,1,1,0
"Senior Specialist, Technical Project Management",28,1,0,1
"Associate Director, Business Consulting",53,1,0,1
"Associate Director, Data Analysis",40,1,0,1
"Associate Director, IT Account Management",35,1,0,1
"Associate Director, Service Management",60,1,0,1
"Associate Director, Service Management",59,1,1,0
"Associate Director, Service Management",56,1,0,1
"Associate Director, Service Management",53,1,0,1
"Associate Director, Technical Product Management",61,1,1,0
"Associate Director, Technical Product Management",51,1,0,1
"Associate Director, Technical Product Management",42,1,0,1
"Associate Director, Technical Project Management",67,1,1,0
"Associate Director, Technical Project Management",59,1,0,1
"Associate Director, Technical Project Management",55,1,0,1
"Associate Director, Technology Partnership",62,1,1,0
"Director, Business Consulting",54,1,0,1
"Director, Business Consulting",35,1,0,1
"Director, Data Analysis",53,1,0,1
"Director, Data Analysis",50,1,0,1
"Director, Service Management",59,1,0,1
"Associate Specialist, Technical Product Management",32,1,0,1
"Senior Specialist, Business Consulting",35,1,1,0
"Senior Specialist, Customer Success",27,1,0,1
"Associate Director, Business Agility",58,1,1,0
"Associate Director, Business Agility",46,1,1,0
"Associate Director, Business Agility",41,1,0,1
"Associate Director, Technical Product Management",57,1,0,1
"Associate Director, Technical Product Management",41,1,0,1
"Associate Director, Technical Project Management",54,1,1,0
"Associate Director, Technical Project Management",45,1,0,1
"Associate Director, Technical Project Management",38,1,0,1
"Director, Program/Project Management",35,1,1,0
"Senior Associate, Administrative Services",62,1,0,1
"Associate Specialist, Talent Rotation",24,1,0,1
"Associate Specialist, Talent Rotation",23,3,0,3
"Specialist, Cloud Engineering",32,1,0,1
"Specialist, Cloud Engineering",30,1,0,1
"Specialist, Cloud Engineering",24,1,0,1
"Specialist, Infrastructure Engineering",64,1,0,1
"Specialist, Infrastructure Engineering",60,1,0,1
"Specialist, Infrastructure Engineering",58,1,0,1
"Specialist, Infrastructure Engineering",50,1,0,1
"Specialist, Infrastructure Engineering",43,1,0,1
"Specialist, Service Management",60,1,0,1
"Specialist, Service Management",35,1,0,1
"Specialist, Service Management",28,1,0,1
"Specialist, Software Engineering",39,1,0,1
"Specialist, Software Engineering",34,1,0,1
"Specialist, Software Engineering",24,2,0,2
"Senior Specialist, Business Agility",67,1,1,0
"Senior Specialist, Business Agility",61,1,1,0
"Senior Specialist, Business Agility",29,1,0,1
"Senior Specialist, Cloud Engineering",59,1,0,1
"Senior Specialist, Cloud Engineering",42,1,0,1
"Senior Specialist, Cloud Engineering",38,1,0,1
"Senior Specialist, Cloud Engineering",33,1,0,1
"Senior Specialist, Cloud Engineering",31,1,0,1
"Senior Specialist, Customer Success",53,1,1,0
"Senior Specialist, Infrastructure Engineering",55,1,0,1
"Senior Specialist, Infrastructure Engineering",50,1,0,1
"Senior Specialist, Infrastructure Engineering",43,1,0,1
"Senior Specialist, Service Management",57,1,0,1
"Senior Specialist, Service Management",55,1,0,1
"Senior Specialist, Service Management",52,1,0,1
"Senior Specialist, Software Engineering",57,1,0,1
"Senior Specialist, Software Engineering",54,1,0,1
"Senior Specialist, Software Engineering",48,1,0,1
"Senior Specialist, Software Engineering",47,1,0,1
"Senior Specialist, Software Engineering",44,2,0,2
"Senior Specialist, Software Engineering",42,1,0,1
"Senior Specialist, Software Engineering",39,1,0,1
"Senior Specialist, Software Engineering",38,1,0,1
"Senior Specialist, Software Engineering",34,1,0,1
"Senior Specialist, Software Engineering",32,1,0,1
"Senior Specialist, Software Engineering",30,1,0,1
"Senior Specialist, Software Engineering",25,1,0,1
"Senior Specialist, Solution Architecture",55,1,0,1
"Senior Specialist, Solution Architecture",49,1,1,0
"Senior Specialist, Technical Architecture",57,1,1,0
"Senior Specialist, Technical Product Management",59,1,0,1
"Senior Specialist, Technical Product Management",53,1,0,1
"Senior Specialist, Technical Product Management",48,1,1,0
"Senior Specialist, Technical Product Management",39,1,0,1
"Senior Specialist, Technology Compliance",56,1,0,1
"Manager, Technical Product Management",53,1,1,0
"Associate Director, Customer Success",61,1,0,1
"Associate Director, Customer Success",56,1,0,1
"Associate Director, Customer Success",46,1,0,1
"Associate Director, Engineering, Development & Integration",39,1,0,1
"Associate Director, Service Management",59,1,0,1
"Associate Director, Service Management",52,1,1,0
"Associate Director, Software Engineering",64,1,0,1
"Associate Director, Software Engineering",58,1,1,0
"Associate Director, Software Engineering",47,1,0,1
"Associate Director, Software Engineering",46,2,0,2
"Associate Director, Software Engineering",31,1,0,1
"Associate Director, Solution Architecture",47,1,1,0
"Associate Director, Technical Product Management",64,1,0,1
"Associate Director, Technical Product Management",59,1,0,1
"Associate Director, Technical Product Management",58,1,0,1
"Associate Director, Technical Product Management",56,1,1,0
"Associate Director, Technical Product Management",54,2,0,2
"Associate Director, Technical Product Management",53,1,0,1
"Associate Director, Technical Product Management",50,1,0,1
"Associate Director, Technical Product Management",46,2,0,2
"Associate Director, Technical Product Management",44,1,0,1
"Associate Director, Technical Product Management",43,1,0,1
"Associate Director, Technical Product Management",37,1,0,1
"Associate Director, Technical Project Management",61,1,0,1
"Director, Cloud Engineering",44,1,0,1
"Director, Software Engineering",35,1,0,1
"Director, Solution Architecture",60,1,0,1
"Director, Technical Product Management",66,1,0,1
"Director, Technical Product Management",64,1,0,1
"Director, Technical Product Management",61,1,1,0
"Director, Technical Product Management",60,1,0,1
"Director, Technical Product Management",57,3,0,3
"Director, Technical Product Management",56,1,1,0
"Director, Technical Product Management",53,1,0,1
"Director, Technical Product Management",49,1,0,1
"Director, Technical Project Management",56,1,0,1
"Senior Director, Technical Product Management",43,1,0,1
"Executive Director, Enterprise Architecture",57,1,0,1
"Executive Director, Technical Product Management",53,1,0,1
"Executive Director, Technical Product Management",41,1,0,1
"Associate Specialist, Cloud Engineering",33,1,0,1
"Associate Specialist, Cloud Engineering",31,1,0,1
"Associate Specialist, Cloud Engineering",29,1,0,1
"Associate Specialist, Cloud Engineering",24,1,0,1
"Associate Specialist, Cloud Engineering",23,1,0,1
"Associate Specialist, Service Delivery/Management",26,1,0,1
"Associate Specialist, Service Management",35,1,1,0
"Specialist, Cloud Engineering",35,1,0,1
"Specialist, Cloud Engineering",34,1,1,0
"Specialist, Infrastructure Engineering",37,1,0,1
"Specialist, Infrastructure Engineering",27,1,1,0
"Specialist, Infrastructure Engineering",25,1,1,0
"Specialist, Service Management",40,1,0,1
"Specialist, Service Management",26,1,0,1
"Specialist, Software Engineering",31,1,0,1
"Senior Specialist, Infrastructure Engineering",67,1,1,0
"Senior Specialist, Infrastructure Engineering",66,1,1,0
"Senior Specialist, Infrastructure Engineering",59,1,0,1
"Senior Specialist, Infrastructure Engineering",52,1,0,1
"Senior Specialist, Infrastructure Engineering",48,1,0,1
"Senior Specialist, Infrastructure Engineering",39,1,0,1
"Senior Specialist, Infrastructure Engineering",35,1,0,1
"Senior Specialist, Service Delivery/Management",39,1,0,1
"Senior Specialist, Service Management",66,1,1,0
"Senior Specialist, Service Management",63,1,0,1
"Senior Specialist, Service Management",39,1,1,0
"Manager, Service Delivery/Management",62,1,0,1
"Associate Director, Infrastructure Engineering",58,1,0,1
"Associate Director, Infrastructure Engineering",55,1,0,1
"Associate Director, Infrastructure Engineering",54,1,0,1
"Associate Director, Technical Product Management",60,1,0,1
"Associate Director, Technical Product Management",55,1,0,1
"Associate Director, Technical Product Management",54,1,0,1
"Associate Director, Technical Product Management",45,1,1,0
"Director, Service Management",57,1,1,0
"Director, Service Management",54,1,1,0
"Director, Technical Product Management",54,1,0,1
"Director, Technical Product Management",37,1,0,1
"Senior Associate, Administrative Services",60,1,0,1
"Senior Associate, Administrative Services",56,1,0,1
"Senior Associate, Administrative Services",52,1,0,1
"Specialist, Technical Architecture",26,1,0,1
"Specialist, UX/UI Design",41,1,1,0
"Senior Specialist, Business Agility",64,1,1,0
"Senior Specialist, Software Engineering",66,1,1,0
"Senior Specialist, Technical Project Management",64,1,1,0
"Senior Specialist, UX/UI Design",38,1,0,1
"Associate Director, Engineering, Development & Integration",46,1,0,1
